settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,4.78,30.648,32.68,53.3,72.158,11.094,3.104,-0.118,2.878,1.92,3.452,2.158,-0.126,-0.18,52.738,94.236,50.446,68.432,-58.982,223.67,-2,-2,24.26,-3.24,0.972,177.82,170.218,125.36,-8.316,-6.426,-4.158,0,-1.974,20.182,-0.138,-0.008,37.668,131.77,13.61,29.556,-1.31,105.436,86.118,98.436,93.6,-2.8,-0.8,-1.4,-280.2,-291.6,0,-284.2,-281.9,19.498,-0.008,-0.366,41.886,0,0,0,309.4,0,0,0,0,0,57.952,0.04,337.82,338.308,0.214,258.48,0,0,0,23.346,124.04,18.992,-0.002,-73.112,-72.968,-1.62,-0.02,16.342,-153.9,0,-0.652,19.412,85.766,85.72,85.94,86.56,-0.042,53.992,-0.026,99.74,57.12,2.666,0.778,-2,0,266.7,0,0,147.514,127.788,149.766,-0.582,-0.178,141.92,141.82,141.86,138.36,-0.002,0,0,-0.014,0,-0.004,97.24,0.162,505.552,400.664,-57.256,650.52,635.368,106.934,109.756,398.374,393.64,396.132,340.472,435.812,414.816,113.5,588.088,585.184,152.462,-52.146,-2.18,4.174,-4.04,-0.776,-0.16,41.62,0,-0.828,-0.628,191.094,87.03,2.88,-0.036,-0.8,144.2,132.64,138.12,155.9,-2.72,-0.08,127.22,136.946,-3.68,49.942,0.12,36.838,13.238,9.5,19.278,238.2,24.612,0,96.11,0,-2,-0.6,-0.6,-0.5,223,0.01,195.7,267.698,251.448,193.478,197.646,-2.4,78.572,90.752,-1.616,56.448,30.076,336.3,-2.6,-0.6,-33.7,491.4,-1.62,-0.246,0,0,45.786,0,18.602,46.222,-3.06,-1.544,127.83,140.746,603.8,600.24,0,0,-0.356,-2.5,-0.8,-0.7,-1.6,-0.8,0.014,2.378,5.524,-0.014,-0.4,-0.6,-0.4,26.124,142.2,142.2,392.712,398.416,636.184,456.176,-49.792,-1.896,36.528,0,0,0,0,0,0,0,217.67,317.26,184.968,-0.81,0.072,184.028,186.528,34.54,26.616,295.226,161.62,34.2,58.086,173.492,299.788,326.994,162.88,203.002
2,2.53,28.108,32.13,53.72,72.358,12.894,2.822,-0.156,3.728,3.868,7.34,8.486,1.336,1.372,52.806,101.906,46.424,68.428,-59.25,219.89,-1.8,-2.2,26.02,-3.06,-0.146,178.06,171.18,125.7,-8.064,-6.426,-4.032,0,-1.982,20.158,-0.104,-0.008,43.242,133.12,13.62,28.352,-1.31,105.49,85.836,98.08,93.602,-2.8,-0.8,-1.5,-247.7,-216.1,0,-283.1,-280.5,23.888,-0.352,-0.388,41.142,0,0,0,305.84,0,0,0,0,0,58.074,-0.688,337.814,338.206,1.02,247.824,0,0,0,26.888,131.44,-0.008,-0.002,-73.032,-72.91,-1.6,-0.04,16.338,-154,0,-0.652,17.658,85.684,85.58,85.94,86.54,-0.042,55.122,-0.026,99.72,57.04,2.79,0.074,-2.1,0,313.7,0,0,147.592,127.646,149.844,-0.212,0.856,141.98,141.88,141.64,138.4,-0.002,0,0,-0.012,0,-0.004,93.94,0.072,505.808,400.432,-57.296,651.28,633.76,106.874,109.696,398.314,393.68,396.092,340.29,435.96,415.032,102.588,588.296,585.824,170.45,-52.324,-2.26,2.776,-3.94,-0.774,-0.16,42.1,0,-0.836,-0.632,192.328,87.134,3.844,-0.038,-1,143.42,131.24,140.18,154.16,-2.64,-0.06,128.018,137.018,-3.65,49.888,0.44,31.082,15.298,9.9,21.558,238,22.492,0,96.1,0,-2,-0.7,-0.7,-0.6,222.8,-0.48,192.7,250.898,247.866,194.186,197.304,-2.2,78.57,90.746,-1.506,56.246,30.08,342,-2.5,-0.5,-33.62,474.2,-1.62,-0.244,0,0,48.606,0,19.588,46.132,-3.052,-1.544,109.974,137.21,603.76,600.04,0,0,-0.356,-2.6,-0.8,-0.8,-1.6,-0.8,-0.706,-0.156,0.14,-0.014,-0.6,-0.7,-0.4,24.752,142.2,142.2,394.232,406.376,636.408,455.744,-49.864,-1.896,36.664,0,0,0,0,0,0,0,341.694,342.58,185.12,-0.074,0.04,190.468,192.328,34.512,26.62,297.936,160.796,33.3,57.438,173.514,299.926,326.774,162.92,203.022
3,0.77,29.474,30.906,52.62,75.05,12.76,2.524,-0.172,3.808,4.926,9.15,12.974,0.134,2.902,50.316,102.55,48.466,67.84,-58.5,213.61,-2,-2.2,24.48,-3.06,-0.106,175.56,170.158,125.12,-8.19,-6.678,-4.158,0,-1.898,19.782,0.188,-0.008,44.692,133.278,13.522,22.63,-1.33,105.372,86.06,98.39,93.502,-2.9,-0.9,-1.5,-275.2,-291.3,0,-279.3,-276.5,25.264,-0.49,-0.384,39.062,0,0,0,320.76,0,0,0,0,0,57.474,-0.624,337.9,338.266,1.68,335.664,0,0,0,29.052,142.68,-0.008,-0.002,-72.552,-72.41,-1.6,-61.14,16.364,-153.1,0,-0.654,16.904,85.684,85.5,85.88,86.44,-0.042,55.152,-0.026,99.78,57.08,3.45,-0.002,-2,0,371,0,0,147.452,127.69,149.806,0.59,6.052,141.98,141.9,141.8,138.42,-0.002,0,0,-0.012,0,-0.006,88.3,0.406,505.52,400.984,-57.168,652.968,635.832,106.914,109.756,398.294,393.5,396.212,340.512,435.904,415.178,90.212,588.224,585.92,224.04,-52.376,-2.27,4.534,-4.14,-0.792,-0.16,36.89,0,-0.828,-0.63,161.474,87.242,4.364,-0.036,-1,144.12,132.54,140.54,154.7,-2.32,-0.08,127.962,137.006,-3.616,49.81,0.14,24.144,5.358,6.4,14.438,289.4,19.932,0,96.1,0,-2.2,-0.6,-0.6,-0.6,222.6,-1.86,189.32,270.458,265.628,194.188,197.702,-2.4,78.446,90.702,-1.516,56.414,30.076,351.8,-2.5,-0.6,-33.74,474.4,-1.614,-0.252,0,0,48.71,0,19.606,49.138,-3.066,-1.902,131.474,141.76,603.88,600.3,0,0,-0.334,-2.5,-0.7,-0.8,-1.5,-0.8,-0.742,-0.75,-0.708,-0.014,-0.4,-0.6,-0.4,16.936,142.3,142.3,396.432,390.616,636.136,457.176,-49.616,-1.916,36.88,0,0,0,0,0,0,0,378.428,408.56,185.106,0.212,-0.566,190.288,191.468,34.462,26.662,298.3,162.404,35.11,55.296,173.496,299.864,326.694,162.9,203.142
4,-0.292,26.58,29.878,41.44,74.81,10.404,1.78,-0.088,2.718,4.996,8.996,16.806,0.596,5.192,40.292,98.43,49.654,68.368,-57.758,222.71,-1.8,-2,24.38,-3.06,-0.074,175.16,171.256,126.08,-8.064,-7.056,-4.032,0,-2.014,19.08,0.512,-0.01,39.818,130.81,13.25,18.434,-1.31,105.48,86.13,98.42,93.596,-2.8,-0.8,-1.4,-275.6,-227.5,0,-279.8,-277.1,24.592,-0.328,-0.142,38.93,0,0,0,307.14,0,0,0,0,0,47.412,0.006,337.736,338.366,1.36,281.662,0,0,0,29.458,143.6,-0.008,-0.002,-72.71,-72.608,-1.6,-73.42,16.244,-153.7,0,-0.658,12.334,85.726,85.72,85.98,86.54,-0.042,55.15,-0.026,99.7,57.1,3.344,0.004,-2,0,324.1,0,0,147.71,127.704,149.772,27.782,36.798,142,141.9,141.78,138.38,-0.002,0,0,-0.012,0,-0.004,64.04,0.894,507.176,400.856,-57.44,652.256,637.048,106.914,109.776,398.454,393.82,396.152,340.364,435.958,415.222,81.186,588.496,586.16,153.68,-52.56,-2.31,6.29,-4.04,-0.866,-0.16,28.85,0,-0.828,-0.624,157.414,87.196,4.238,-0.036,-0.8,144.62,133.22,139.68,153.9,-2.32,-0.08,128.008,136.966,-3.646,49.442,0.06,17.51,1.102,5.534,5.038,239.2,17.218,0,96.1,0,-1.9,-0.6,-0.7,-0.5,222.6,0.01,192.38,275.998,269.728,194.222,195.678,-2.2,78.574,90.748,-1.53,56.142,30.084,337.9,-2.6,-0.6,-33.66,474.4,-1.622,-0.258,0,0,48.67,0,19.584,49.16,-3.072,-2.092,131.496,141.742,604.24,600.26,0,0,-0.34,-2.6,-0.8,-0.8,-1.6,-0.8,-0.586,-0.136,-0.29,-0.014,-0.6,-0.7,-0.4,24.188,142.2,142.2,397.012,392.416,635.456,458.88,-49.72,-1.926,36.914,0,0,0,0,0,0,0,342.974,402.62,184.928,-0.014,-0.828,187.828,188.208,33.62,26.458,294.414,160.418,34.58,52.252,173.438,299.868,326.794,162.94,203.082
5,-0.14,15.458,28.286,46.1,74.878,7.36,2.86,0.276,3.458,7.706,12.55,19.396,10.606,1.284,32.516,101.366,49.626,68.41,-57.682,222.77,-2,-2.2,24.92,-3.24,0.234,174.36,167.842,124.08,-8.19,-6.426,-4.158,0,-1.874,18.618,0.96,-0.008,28.998,131.358,13.602,24.672,-1.32,105.442,86.132,98.42,93.514,-2.9,-0.8,-1.5,-274.6,-216.6,0,-278.7,-275.7,24.86,1.318,0.502,39.122,0,0,0,305.08,0,0,0,0,0,41.528,0.828,337.832,338.266,0.64,357.12,0,0,0,29.416,143.56,-0.008,-0.002,-72.63,-72.508,-1.58,-73.32,16.344,-153.7,0,-0.67,9.696,85.606,85.66,85.92,86.46,-0.042,55.118,-0.024,99.7,57.08,7.05,0.006,-2,0,314,0,0,147.434,127.754,149.854,43.172,47.658,141.94,141.9,141.82,138.46,-0.002,0,0,-0.012,0,-0.006,69.42,1.826,506.968,401.064,-57.552,654.608,638.024,106.874,109.756,398.414,393.56,396.212,339.98,435.812,415.176,66.378,588.32,585.56,240.208,-52.928,-2.33,5.956,-4.14,-0.866,-0.16,26.42,0.086,-0.826,-0.622,168.222,86.908,4.406,-0.038,-1,144.24,132.92,138.48,152.94,-2.34,-0.06,127.884,136.972,-3.358,49.988,6.12,23.098,-0.47,4.514,1.326,295.8,16.656,0,96.08,0,-1.9,-0.6,-0.6,-0.6,222.6,0.01,194.97,276.018,270.008,194.21,191.652,-2.4,78.574,90.69,-1.494,54.614,30.07,352.2,-2.5,-0.5,-33.98,474.2,-1.624,-0.262,0,0,48.702,0,19.608,49.142,-3.06,-2.008,131.458,141.74,604.64,599.84,0,0,-0.356,-2.6,-0.8,-0.8,-1.6,-0.8,4.666,4.904,1.792,-0.012,-0.4,-0.6,-0.4,25.79,142.2,142.2,397.152,397.276,636.84,458.096,-49.808,-1.926,35.144,0,0,0,0,0,0,0,327.952,401.06,184.932,-0.072,0.048,187.208,187.708,33.12,26.624,278.294,160.226,36.58,53.866,173.536,299.906,326.734,162.86,203.142
6,2.984,12.488,30.186,42.46,74.668,5.038,2.602,0.672,6.368,13.006,15.7,29.3,20.346,8.798,39.604,76.004,49.056,65.42,-57.91,221.61,-1.8,-3.8,24.6,-3.06,3.448,170.68,168.282,117.4,-8.064,-6.3,-4.032,0,-1.788,18.934,1.438,-0.008,18.906,131.358,13.522,30.956,-1.3,105.442,86.128,98.422,88.754,-2.9,-0.9,-1.4,-271.9,-289.1,0,-276,-273,24.898,7.86,4.348,41.098,0,0,0,314.74,0,0,0,0,0,46.866,7.73,337.902,338.306,0.32,263.376,0,0,0,29.772,143.62,-0.008,-0.002,-72.31,-72.188,-1.58,-72.96,16.352,-153.3,0,-1.316,9.946,85.824,85.56,85.9,86.52,-0.042,55.078,-0.024,99.58,57.02,11.384,0.008,-1.9,0,290.7,0,0,147.734,127.706,149.696,83.944,83.068,141.98,141.96,141.7,138.42,-0.002,0,0,-0.012,0,-0.004,82.28,2.23,506.24,400.736,-57.488,653.192,638.056,106.914,109.736,398.354,393.68,396.052,337.032,436.016,415.196,66.388,588.176,586.592,179.464,-52.912,-2.34,5.264,-4.03,-0.774,-0.17,37.21,0.274,-0.824,-0.624,175.83,86.268,4.384,-0.036,-0.8,142.38,131.02,138.74,152.58,-2.32,-0.08,127.97,137.002,-3.4,50.05,18.84,25.678,6.998,7.92,8.498,238.4,18.162,0,96.11,0,-1.8,-0.6,-0.7,-0.6,222.8,0.02,193.68,277.118,270.206,194.164,191.044,-2.2,76.574,87.26,-1.55,55.576,30.09,343.8,-2.6,-0.6,-33.94,474.2,-1.62,-0.254,0,0,48.696,0,19.59,49.16,-3.054,-1.838,131.478,141.716,604.24,600.26,0,0,-0.356,-2.5,-0.8,-0.7,-1.6,-0.8,16.24,14.656,11.4,-0.012,-0.4,-0.7,-0.4,25.414,142.2,142.2,398.472,397.456,635.824,459.112,-49.68,-1.916,36.74,0,0,0,0,0,0,0,156.372,380.46,185.048,-0.652,-0.688,190.148,188.948,33.46,26.638,273.34,157.38,36.29,56.992,173.364,299.846,326.914,162.98,203.042
7,13.18,7.512,30.094,44.22,68.684,4.688,2.884,1.388,8.478,20.882,25.852,46.926,29.346,15.274,47.518,63.11,41.468,68.062,-57.824,222.77,-1.8,-2.4,24.04,-3.24,6.404,163.94,169.254,114.92,-8.316,-6.426,-4.158,0,-1.978,20.082,1.226,-0.008,20.244,131.466,13.554,30.662,-1.32,105.474,86.144,98.428,93.65,-2.9,-0.8,-1.4,-271.8,-289.1,0,-275.9,-272.8,20.382,31.26,17.15,41.612,0,0,0,307.54,0,0,0,0,0,39.264,18.67,337.676,338.286,0.092,241.776,0,0,0,29.774,143.1,-0.008,-0.002,-72.39,-72.288,-1.6,-73.06,16.34,-152.9,-64.2,-1.18,10.294,85.548,85.58,85.96,86.54,-0.042,55.102,-0.022,97.84,56.3,9.886,0.008,-2,0,229.9,0,0,147.426,127.746,149.79,72.194,71.198,142,141.96,141.8,138.38,-0.002,0,0,-0.012,0,-0.006,70.74,2.652,506.576,401.08,-57.712,658.088,637.624,106.894,109.756,398.334,393.56,396.132,340.544,435.922,415.134,79.52,588.112,587.048,150.478,-53.048,-2.37,4.278,-4.14,-0.782,-0.16,32.82,1.178,-0.826,-0.624,177.094,86.818,3.304,-0.038,-1,140.82,129.96,137.98,151.78,-2.34,-0.06,128.02,134.9,-3.472,50.198,16,28.438,12.078,28.14,19.478,237.8,22.852,0,96.09,0,-1.9,-0.6,-0.6,-0.5,222.6,0,190.49,278.918,271.088,194.22,192.516,-2.4,77.698,90.746,-1.488,56.206,30.074,336.2,-2.5,-0.6,-33.88,474.4,-1.622,-0.25,0,0,48.708,0,19.598,49.152,-3.054,-1.64,131.482,141.75,604.2,600.24,0,0,-0.354,-2.6,-0.8,-0.8,-1.6,-0.8,37.154,27.596,23.444,-0.014,-0.6,-0.6,-0.4,26.122,142.2,142.2,397.092,397.316,636.584,459.456,-49.832,-1.916,36.476,0,0,0,0,0,0,0,148.852,224.16,184.918,-0.872,-0.898,185.468,188.048,33.452,26.616,278.068,162.212,35.27,55.708,170.838,299.866,326.634,162.88,199.942
8,22.3,8.138,28.378,51.82,3.73,4.17,3.524,2.584,32.128,42.578,44.916,55.16,25.962,17.142,52.202,91.948,49.958,68.418,-58.024,222.79,-2,-2.2,24.26,-3.06,14.986,171.38,122.24,76.42,-8.694,-6.426,-4.158,0,-1.794,20.114,0.738,-0.008,13.358,130.966,13.614,30.972,-1.32,105.422,86.102,98.434,93.458,-2.9,-0.8,-1.5,-272.4,-289.8,0,-276.5,-273.3,21.752,51.56,33.39,39.388,0,0,0,162.398,0,0,0,0,0,41.766,35.19,337.84,338.306,0.026,241.776,0,0,0,27.038,142.42,-0.008,-0.002,-72.59,-72.508,-1.6,-73.24,16.31,-152.6,-153.7,-1.18,6.096,85.664,85.7,83.06,86.34,-0.042,55.114,-0.024,95.52,55.1,8.424,0.006,-2.1,0,229.9,0,0,147.716,127.73,149.82,10.326,26.946,141.96,141.8,141.78,138.36,-0.002,0,0,-0.014,0,-0.006,49.14,0.332,506.08,401.008,-57.904,657,639.488,106.914,109.796,398.454,393.6,396.212,340.646,435.718,415.054,79.712,588.216,586.984,150.634,-54.192,-2.39,4.378,-4.14,-0.814,-0.16,-0.15,1.726,-0.824,-0.622,183.454,86.858,3.412,-0.036,-1,140.88,129.78,137.38,150.42,-2.32,-0.08,127.726,123.944,-3.518,50.016,10.44,27.592,31.618,46.78,33.138,237.4,21.158,0,96.11,0,-1.8,-1,-0.7,-0.6,222,-0.04,186.89,278.918,271.148,194.28,194.326,-2.2,78.572,90.746,-1.522,52.286,30.074,336.2,-2.6,-0.6,-33.64,474,-1.622,-0.25,0,0,48.7,0,19.618,49.174,-3.072,-1.674,131.492,141.726,603.82,599.78,0,0,-0.356,-2.7,-0.8,-0.8,-1.6,-0.8,42.508,33.136,29.656,-0.012,-0.4,-0.7,-0.4,26.138,142.2,142.2,397.19,397.556,636.664,459.992,-50.12,-1.928,36.582,0,0,0,0,0,0,0,139.576,208.24,183.876,-1.196,-0.236,185.068,187.268,32.774,26.586,272.968,161.506,34.83,54.704,167.192,299.746,326.754,162.88,202.962
9,19.76,5.752,29.954,53.3,55.252,3.96,3.522,4.238,46.072,64.228,76.948,83.37,16.064,16.306,49.454,90.692,50.482,68.412,-58.15,222.75,-2,-4.2,24.82,-3.24,13.1,167.94,169.18,110.02,-8.19,-6.552,-4.032,0,-1.984,20.058,1.078,-0.008,10.782,131.45,13.61,29.884,-1.31,105.444,86.124,98.406,93.544,-2.9,-0.9,-1.4,-269.4,-237.4,0,-273.4,-270,23.396,63.76,44.416,39.642,0,0,0,0,0,0,0,0,0,45.97,46.51,337.764,338.286,0.12,241.776,0,0,0,28.56,143.62,-0.008,-0.002,-72.172,-72.09,-1.6,-72.82,16.338,-151.9,-153,-1.2,17.384,85.886,85.56,83,86.7,-0.042,55.11,-0.024,95.74,56.66,12.362,9.908,-2,0,242.8,0,0,147.34,127.718,149.8,34.65,24.376,141.98,141.92,141.8,138.36,-0.002,0,0,-0.012,0,-0.004,75.92,10.108,505.624,400.656,-57.712,658.064,637.008,106.914,109.736,398.314,393.62,396.072,340.626,435.996,415.26,90.206,588.704,586.312,150.476,-54.806,-2.38,5.31,-4.04,-0.788,-0.16,21.37,0.744,-0.83,-0.632,184.024,86.22,3.894,-0.036,-1,142.32,130.18,137.78,151.76,-2.32,-0.08,127.674,97.982,-3.462,49.136,7.28,31.74,88.178,94.576,89.238,239.4,20.818,0,96.09,0,-4.3,-2,-0.6,-0.6,225.2,-0.19,188.78,278.798,271.148,194.21,194.326,-2.4,78.572,90.744,-1.51,47.062,29.994,336.3,-2.6,-0.5,-33.5,478,-1.62,-0.248,0,0,48.688,0,19.618,49.162,-3.056,-1.67,131.454,141.722,604.48,600.52,0,0,-0.336,-2.7,-0.8,-0.8,-1.6,-0.8,24.644,23.058,16.194,-0.012,-0.6,-0.7,-0.4,26.122,142.2,142.2,397.132,396.936,635.952,460.256,-49.936,-1.906,36.404,0,0,0,0,0,0,0,147.854,218.56,184.948,-0.094,0.012,186.468,187.788,34.314,26.592,275.526,165.252,35.92,57.314,172.156,299.966,326.294,162.92,203.102
10,38.98,2.038,31.48,44.88,45.758,1.478,2.822,4.288,79.356,101.142,90.312,119.118,10.184,8.144,50.346,77.76,48.792,68.464,-58.602,222.75,-1.8,18.4,26.24,-3.06,9.962,152.84,102.324,99.34,-8.064,-6.3,-4.158,0,-1.888,20.106,1.392,-0.008,3.554,131.302,13.618,29.15,-1.32,105.448,86.12,98.42,93.532,-3.4,-0.8,-1.4,-269.4,-287.5,0,-273.4,-270,23.204,75.4,61.016,41.02,0,0,0,0,0,0,0,0,0,45.436,32.01,337.838,338.286,0.12,241.776,0,0,0,28.894,143.62,-0.006,-0.002,-72.294,-72.21,-1.58,-72.92,16.32,-152.5,-153.4,-1.228,19.216,85.686,85.58,86,86.44,-0.042,55.142,-0.024,96.02,55.5,22.094,8.566,-2,0,228.6,0,0,147.694,127.71,149.8,43.166,30.592,141.82,141.84,141.66,138.44,-0.002,0,0,-0.012,0,-0.006,83.98,3.652,506.112,401.16,-57.848,656.376,638.936,106.894,109.776,398.294,393.68,396.172,340.378,435.832,415.088,100.658,588.76,586.832,150.47,-54.688,-2.39,5.106,-4.14,-0.8,-0.16,27.19,2.704,-0.83,-0.63,185.888,85.582,3.7,-0.038,-0.8,141.24,128.86,135.34,149.46,-2.24,-0.06,127.41,10.252,-3.476,48.126,3.18,30.392,141.838,160.612,152.818,238.2,22.118,0,96.06,0,-7.7,-0.6,-0.7,-0.6,222.8,-0.04,190.4,278.918,271.126,194.262,194.32,-2.2,81.102,90.746,-1.498,50.864,30.068,336.2,-2.5,-0.6,-33.72,474.4,-1.62,-0.252,0,0,48.724,0,19.606,49.17,-3.074,-1.67,131.492,141.732,604.04,600.1,0,0,-0.29,-2.6,-0.8,-0.8,-1.6,-0.8,20.06,16.312,13.11,-0.012,-0.4,-0.6,-0.4,26.002,142.2,142.2,396.972,388.396,636.272,460.808,-50.112,-1.916,36.468,0,0,0,0,0,0,0,139.926,209.86,176.3,-1.086,-0.2,190.988,190.608,34.408,26.588,277.13,164.666,34.72,56.838,166.776,299.766,325.794,162.58,203.242
11,50.96,1.024,32.188,42.12,3.794,0.852,2.268,3.91,95.788,108.058,132.804,137.572,7.968,1.31,44.838,86.81,49.372,68.446,-58.48,222.03,-1.8,136.8,26.12,-3.06,5.778,163.64,85.542,115.86,-8.19,-6.426,-4.032,0,-1.882,20.134,2.166,-0.008,1.384,131.49,13.61,29.186,-1.35,105.44,86.152,98.418,93.486,-3.4,-0.9,-1.4,-267.5,-285.8,0,-271.5,-267.9,18.788,77.22,60.514,39.252,0,0,0,0,0,0,0,0,0,44.476,29.25,337.768,338.246,-0.036,241.774,0,0,0,27.608,142.48,-0.006,-0.002,-72.072,-72.01,-1.58,-53,16.322,-152.3,-153.2,-1.248,18.954,85.284,85.34,85.34,86.22,-0.042,55.156,-0.026,96.56,55.78,21.36,0.006,-2,0,228.5,0,0,147.36,127.59,149.81,48.376,31.112,141.82,141.78,141.72,138.34,-0.002,0,0,-0.012,0,-0.004,71.68,0.476,505.144,400.376,-57.704,658.416,632.864,106.894,109.716,398.474,393.52,396.132,340.68,435.918,415.11,96.372,588.768,586.712,150.224,-54.822,-2.36,5.11,-4.14,-0.776,-0.16,-0.15,2.508,-0.83,-0.632,177.708,86.35,2.42,-0.036,-1,140.26,127.66,136.34,150.42,-2.36,-0.04,127.43,45.95,-3.42,49.682,3.84,28.332,216.858,226.14,191.218,237.8,21.916,0,96.04,0,5.8,-0.7,-1,-0.9,222.8,-0.01,190.97,278.838,271.168,194.172,194.238,-2.4,81.62,90.75,-1.57,53.07,30.066,336.2,-2.6,-0.6,-33.66,474.6,-1.626,-0.252,0,0,48.69,0,19.606,49.112,-3.058,-1.666,131.48,141.736,604.24,600.14,0,0,-0.286,-2.6,-0.8,-0.8,-1.5,-0.8,15.324,12.072,8.698,-0.012,-0.6,-0.7,-0.4,25.906,141.9,141.9,397.152,388.176,636.736,458.472,-50.032,-1.936,36.842,0,0,0,0,0,0,0,142.038,212.18,178.256,-0.258,-1.096,190.988,190.548,34.504,26.594,285.586,164.82,35.19,57.874,167.91,298.326,324.074,162.9,202.982
