settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FERGD-1,T_FERGD-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_NNGAO-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,19.82,2.192,6.7,36.34,35.104,1.308,1.242,8.136,66.724,70.632,83.388,94.73,10.126,8.71,11.982,10.42,0,22.912,-43.232,99.59,-0.2,180,0.44,402.3,7.36,0,0,3.34,-5.922,0,228.816,-5.04,-2.268,0.892,13.058,-0.004,2.48,57.968,6.832,15.656,-4.44,0,0,0,0,0,49.932,31.332,36.33,39.41,0,-0.2,0,0,-1.4,0,-1.4,0,7.938,37.82,18.16,11.552,316.05,0,0,0,626.36,599.32,0,0,0,4.88,20.294,292.344,331.268,0.32,401.616,0,0,0,-0.164,54.04,-0.006,-0.002,-0.492,-1.556,-0.268,24.688,-0.04,-35.9,16.326,-1.9,-2,-0.918,1.66,56.806,62.26,70.04,61.28,-0.042,17.1,-0.098,90.32,48.1,7.276,11.644,0,-0.5,408.2,0,0,125.766,114.628,120.48,7.246,10.768,38.42,46.04,47.54,67.32,-0.002,0,0,-0.004,0,-0.008,3.994,13.998,490.096,519.776,-26.504,595.792,-5.2,49.574,36.736,185.534,150.114,173.494,157.78,275.888,317.6,-0.828,559.36,0,343.492,-49.68,-2.12,8.756,-1.34,806.92,-0.16,32.19,17.686,-0.73,-0.514,6.682,21.61,0.818,19.372,-1.2,-0.1,134.9,122.56,90.32,93.48,712.22,-0.02,28.364,30.62,-4.2,10.886,5.08,0.92,-0.004,269.618,215.058,-0.6,2.604,0,0,43.02,0,392.8,412,0,408.4,424.4,-0.02,35.32,73.218,113.064,148.88,109.668,-0.8,6.884,6.73,0,6.168,5.234,321,-5.3,0,-43.22,-3.47,240.52,-0.336,0,0,-1.428,-1.312,-1.552,-3.09,727.8,-0.462,45.932,38.968,593.86,593.12,0,0,14.762,451.3,409.6,374.2,407,0,17.198,16.264,11.718,14.272,-0.8,-0.6,-0.4,8.504,74.11,68.742,211.492,-0.004,634.152,640.304,-55.024,-1.572,0,0,0,0,0,0,0,0,-2.856,0,-1.316,-0.044,0.116,108.148,99.028,8.596,3.642,21.89,12.42,28.48,4.76,59.918,87.098,144.632,55.12,108.702
2,9.5,1.6,3.532,42.32,42.124,1.98,2.618,5.3,58.684,49.296,88.938,93.256,9.548,7.734,7.806,11.904,0,17.356,-43.11,98.95,-0.2,181.6,0.54,404.1,6.46,0,0,2.74,-4.662,0,228.816,-4.914,-2.076,1.128,7.766,-0.004,3.18,58.162,7.598,11.746,-3.84,0,0,0,0,0,49.142,29.558,39.352,38.706,0,-0.3,0,0,-1.3,0,-1.5,0,4.972,37.68,17.394,12.828,316.926,0,0,0,628.02,600.3,0,0,0,4.88,15.672,234.522,270.868,0.1,400.608,0,0,0,0.14,59.88,-0.006,-0.002,-0.708,-1.048,-71.672,-0.324,-0.02,-73.44,16.334,-1.9,-1.9,-0.886,1.148,59.824,60.88,65.52,61.38,-0.042,14.352,-0.096,85.06,44.7,7.21,11.216,0,-0.6,408.8,0,0,132.262,123.37,132,11.042,16.842,34.44,44.72,51.7,69.58,-0.002,0,0,-0.006,0,-0.01,3.926,11.418,490.2,519.816,-26.544,598.568,-5.2,48.906,38.516,197.934,140.614,150.074,149.682,306.442,305.14,-0.79,559.992,0,343.082,-48.14,-2.12,8.634,-1.14,815.86,-0.16,31.36,14.352,-0.73,-0.514,12.77,28.604,0.352,22.624,-1,-0.1,145.18,131.26,117.46,123.88,724.02,-0.02,24.908,23.166,-4.2,7.428,4.34,-0.084,-0.004,238.398,165.278,-0.6,2.098,0,0,32.99,0,398.6,385.8,0,408.2,414.6,-0.02,38.56,61.558,90.304,144.802,109.238,-0.8,5.78,7.068,0,2.444,4.898,320.9,-5.4,0,-43.16,-3.418,240.34,-0.346,0,0,-1.432,-1.316,-1.576,-3.09,727.4,-0.468,70.664,59.398,593.94,593.58,0,0,10.596,381,409.8,383,406.9,0,16.904,16.744,10.386,12.692,-0.8,-0.5,-0.4,5.518,85.064,82.088,215.55,-0.004,634.776,640.536,-54.952,-1.582,0,0,0,0,0,0,0,0,-2.928,0,-1.39,-0.072,-0.21,95.708,80.148,5.346,3.24,27.45,14.88,26.74,3.476,50.426,61.238,121.53,39.36,98.882
3,11.76,1.102,2.844,36.5,32.516,1.65,2.92,5.598,42.884,42.628,65.632,69.562,5.758,6.45,7.78,10.344,0,18.448,-43.824,105.93,0,181.8,0.66,401.76,7.02,0,0,1.66,-4.662,0,229.068,-4.914,-2.21,0.898,3.644,-0.004,3.026,40.724,5.276,6.976,-3.82,0,0,0,0,0,52.138,32.81,42.738,43.122,0,-0.3,0,0,-1.3,0,-1.4,0,4.264,29.48,17.99,9.908,304.85,0,0,0,625.9,614.46,0,0,0,2.44,14.292,249.284,285.328,0.1,403.776,0,0,0,3.6,56.96,-0.006,-0.002,-0.132,-0.878,-73.014,-72.01,-0.04,-73.72,16.31,-1.9,-1.9,-0.904,2.046,57.146,58.16,64.06,61.44,-0.042,11.76,-0.114,63.42,35.2,11.234,10.744,0,-0.5,409.2,0,0,125.808,113.042,125.912,16.196,21.722,42.18,49.16,58.56,71.76,-0.002,0,-0.002,-0.006,0,-0.008,4.232,7.586,490.592,519.608,-26.68,598.072,-5.184,49.662,43.456,170.994,131.894,135.834,136.976,260.028,246.04,-0.746,559.952,0,343.262,-48,-2.15,8.842,-1.24,816.48,-0.16,20.92,15.26,-0.728,-0.512,18.29,17.67,0.216,18.126,-1.2,-0.1,150.1,134.86,127.9,133.24,723.24,-0.04,27.158,33.114,-4.208,9.456,4.32,-0.29,-0.004,205.098,141.678,-0.6,3.526,0,0,22.14,0,411.8,426,0,408.4,413.8,-0.02,36.1,72.938,62.96,130.258,99.738,-0.8,6.296,8.438,0,1.37,4.778,321,-5.4,0,-43.3,-3.182,240.56,-0.362,0,0,-1.416,-1.316,-1.57,-3.094,732,-0.466,76.1,62.476,593.72,592.92,0,0,12.372,531.4,409.4,417,406.9,0,19.398,15.096,10.072,11.752,-0.8,-0.6,-0.3,3.376,96.154,88.754,259.192,-0.004,634.872,641.216,-55.312,-1.6,0,0,0,0,0,0,0,0,-2.086,0,-1.408,-0.014,-0.294,78.488,69.208,4.694,3.562,23.996,12.3,25.83,3.614,40.1,49.618,99.652,27.08,85.762
4,20.56,0.914,2.194,27.72,19.012,1.482,4.54,4.806,53.96,51.03,64.73,75.168,6.474,2.898,5.174,9.51,0,18.052,-43.614,116.09,-0.2,180.8,0.22,402.3,6.72,0,0,4.054,-4.662,0,228.942,-4.788,-2.016,1.166,3.418,-0.004,2.832,34.42,3.96,4.492,-3.83,0,0,0,0,0,53.388,39.896,45.04,50.334,0,-0.3,0,0,-1.3,0,-1.4,0,4.49,34.6,16.44,7.194,310.384,0,0,0,626.3,600.28,0,0,0,1.86,17.532,286.504,322.068,0.4,405.648,0,0,0,4.772,59.48,-0.006,-0.002,-0.278,-0.918,-72.754,-72.73,-0.02,-73.44,16.318,-1.9,-1.8,-0.912,2.474,62.408,68.16,67.62,66.8,-0.042,8.84,0.006,42.52,20.62,9.752,9.83,0,-0.6,409.5,0,0,132.204,122.474,129.27,14.132,26.182,42.42,48.9,52.4,60.24,-0.002,0,0,-0.004,0,-0.008,3.954,6.732,489.712,519.36,-26.664,598.432,-5.248,52.562,43.636,143.214,119.634,132.314,118.168,216.534,235.58,-0.696,559.832,0,343.06,-47.88,-2.17,9.018,-1.34,817.1,-0.16,17.28,19.548,-0.728,-0.51,25.39,15.156,0.326,12.032,-1.2,-0.1,123.38,107.98,93.28,99.06,724.02,-0.02,31.22,40.974,-4.206,5.844,7.64,-0.172,-0.004,188.738,126.618,-0.6,1.816,0,0,19.81,0,412.2,431.6,0,408.2,414,-0.02,52.38,87.778,79.924,119.96,77.574,-0.8,8.264,12.228,0,4.918,6.164,320.9,-5.4,0,-43.2,-2.95,240.42,-0.34,0,0,-1.426,-1.316,-1.564,-3.096,731.6,-0.464,83.464,68.412,593.48,592.92,0,0,11.334,657.9,409,417,407.6,0,15.986,12.314,8.066,20.492,-0.8,-0.5,-0.4,4.676,81.658,75.414,272.832,-0.004,634.736,641.664,-55.224,-1.612,0,0,0,0,0,0,0,0,-1.928,0,-1.292,-0.272,-0.608,82.688,76.048,2.688,5.206,26.92,11.74,27.16,3.216,39.822,64.118,112.69,34.18,73.962
5,30.78,0.268,2.156,34.88,29.86,0.988,5.88,4.386,54.472,64.06,64.062,79.694,6.396,2.638,2.942,7.6,0,18.672,-43.946,106.33,-0.2,179.8,0.98,374.22,6.8,0,0,6.86,-4.662,0,228.816,-5.544,-2.252,0.378,5.562,-0.004,2.634,30.928,4.872,3.91,-3.85,0,0,0,0,0,48.48,39.666,39.296,42.414,0,-0.3,0,0,-1.3,0,-1.5,0,4.73,36.7,18.132,5.98,300.048,0,0,0,617.7,599.86,0,0,0,1.88,17.512,282.084,314.428,0.34,405.502,0,0,0,4.308,63.8,-0.006,-0.002,0,-0.878,-73.232,-73.19,-0.04,-73.92,16.278,-1.9,-2,-0.896,1.9,58.624,67.1,66.22,68.86,-0.042,6.494,0.174,56.86,25.96,13.3,12.792,0,-0.5,409.3,0,0,132.58,117.822,126.61,7.526,16.188,46.14,49.28,54.52,70.14,-0.002,0,-0.002,-0.004,0,-0.008,2.338,6.544,489.624,518.496,-26.848,600.2,-5.192,49.766,42.356,142.014,113.234,111.614,126.566,235.82,270.72,-0.674,559.408,0,305.454,-48.34,-2.19,8.504,-1.14,818,-0.16,10.64,22.832,-0.728,-0.512,26.098,13.012,0.48,14.602,-1,-0.1,129.22,114.92,100.94,106.4,724.02,-0.02,21.846,35.218,-4.224,5.674,6.44,-0.002,-0.004,169.418,112.878,-0.6,2.034,0,0,22.67,0,412.4,431.6,0,408.4,414.4,-0.03,65.21,131.358,100.884,144.172,90.346,-1,15.45,23.662,0,4.41,6.946,321,-5.4,0,-43.36,-2.97,240.38,-0.336,0,0,-1.426,-1.322,-1.584,-3.094,731.8,-0.466,78.318,63.034,593.28,592.9,0,0,10.372,776.6,293.4,417,240.1,0,15.002,10.496,6.584,29.012,-0.8,-0.6,-0.4,6.004,91.444,85.16,323.652,-0.004,635.344,641.088,-55.552,-1.592,0,0,0,0,0,0,0,0,-1.968,0,-1.414,-0.832,-0.986,100.088,81.388,1.582,2.698,32.2,20.78,27.86,4.824,54.544,101.478,132.012,38.12,68.082
6,24.7,-0.046,2.968,33.54,32.836,0.572,7.62,4.148,56.916,59.986,78.354,97.318,5.444,2.654,2.614,8.804,0,27.714,-43.394,137.73,-0.2,179.8,0.66,301.32,8,0,0,6.84,-4.788,0,142.884,-4.788,-2.144,0.418,10.176,-0.004,1.222,24.778,3.502,3.418,-3.85,0,0,0,0,0,39.566,23.548,31.758,29.096,0,-0.3,0,0,-1.3,0,-1.4,0,4.894,31.04,15.248,2.846,302.3,0,0,0,625.94,600.22,0,0,0,0.84,18.672,254.204,297.228,0.1,399.744,0,0,0,2.106,46.16,-0.006,-0.002,-0.002,-0.886,-72.672,-72.63,-0.02,-73.34,16.418,-1.9,-1.9,-0.896,0.988,61.666,66.16,72.92,72.12,-0.042,6.154,1.888,65.7,30.06,10.79,10.748,0,-0.6,409.4,0,0,133.2,121.802,130.406,6.76,16.1,61.6,64.3,70.48,81.98,-0.002,0,0,-0.004,0,-0.008,2.974,6.102,489.072,517.776,-26.696,598.136,-6.76,55.246,30.836,166.274,141.714,99.474,142.676,294.184,312.74,-0.656,560.024,0,344.866,-48.12,-2.29,7.298,-1.34,818.58,-0.16,8.24,21.878,-0.732,-0.514,31.672,15.298,0.336,18.108,-1.2,-0.11,147.62,133.24,116.88,122.56,724.02,-0.02,22.712,34.702,-4.206,3.084,4.08,1.52,-0.004,183.598,125.738,-0.6,1.778,0,0,31.04,0,398.2,360.8,0,408,415,-0.02,60.4,154.998,127.444,113.318,91.82,-0.8,33.594,42.444,0,2.828,1.844,320.9,-5.5,0,-43.42,-2.962,240.44,-0.336,0,0,-1.422,-1.312,-1.572,-3.104,731,-0.464,72.41,50.98,594.14,593.14,0,0,6.22,605.4,197.4,343.8,198,0,11.412,10.528,7.4,32.832,-0.6,-0.5,-0.4,3.93,89.334,85.788,349.852,-0.004,634.888,641.608,-55.304,-1.6,0,0,0,0,0,0,0,0,-2.77,0,-1.33,-0.63,-0.672,103.508,76.768,2.138,2.164,42.22,25.3,29.15,2.966,58.716,85.578,138.69,41.1,63.202
7,23.72,-0.166,0.106,36.26,38.102,0.356,13.84,5.334,53.158,49.89,85.628,89.698,4.432,2.598,3.188,7.822,0,33.182,-42.946,190.47,-0.2,179.8,0.44,396.36,6.76,0,0,3.5,-5.292,0,-6.048,-4.788,-2.24,-0.07,10.886,-0.004,0.202,34.598,4.922,5.786,-3.85,0,0,0,0,0,45.946,19.974,32.986,36.68,0,-0.3,0,0,-1.4,0,-1.4,0,2.988,33.32,19.842,3.468,302.508,0,0,0,627.26,599.92,0,0,0,0.4,15.872,274.244,319.068,0.016,399.888,0,0,0,-0.26,38.48,-0.006,-0.002,-0.002,-0.946,-72.432,-72.43,-0.04,-73.1,16.31,-1.9,-1.9,-0.916,0.19,68.848,73.22,79.66,73.98,-0.042,9.042,2.864,53.66,28.98,11.698,11.998,0,-0.5,410.3,0,0,131.458,122.262,123.982,8.84,16.466,54.06,57.6,57.58,73.08,-0.002,0,0,-0.004,0,-0.008,3.042,5.6,489.992,517.528,-26.728,601.128,-7.784,59.748,32.956,163.174,126.794,124.634,141.562,331.15,302.92,-0.656,559.728,0,305.664,-47.96,-2.28,6.784,-1.24,818.16,-0.16,6.63,18.124,-0.734,-0.514,46.344,18.98,0.334,16.82,-1.2,-0.1,141.58,127.02,115.22,121.54,686.02,-0.02,26.622,40.748,-4.252,2.198,2.72,2.74,-0.004,197.778,148.978,-0.6,0.786,0,0,33.3,0,388,321.2,0,409.8,414.6,-0.02,59.99,164.878,133.4,120.162,93.664,-0.8,41.112,52.214,0,0.596,1.558,321,-5.4,0,-43.34,-2.988,240.4,-0.332,0,0,-1.434,-1.322,-1.598,-3.1,732.2,-0.462,61.512,47.42,593.38,592.94,0,0,2.776,467.5,368,320.2,197.6,0,10.386,10.804,7.654,36.952,-0.8,-0.6,-0.4,1.254,75.014,72.46,367.212,-0.004,634.688,640.424,-55.304,-1.602,0,0,0,0,0,0,0,0,-3.536,0,-1.354,-0.364,-0.246,110.468,88.528,0.582,1.67,40.58,22.88,28.5,0.964,64.358,119.718,177.732,56.16,69.842
8,30.72,0.042,0.888,33.12,25.088,0.206,17,7.36,59.394,55.892,73.736,77.634,4.82,2.626,4.406,5.134,0,37.612,-42.98,165.15,-0.2,179.8,0.1,388.62,6.3,0,0,5.18,-5.04,0,-4.662,-4.788,-2.518,-0.092,4.89,-0.004,-0.19,28.964,5.416,6.218,-3.85,0,0,0,0,0,53.172,30.39,43.008,48.74,0,-0.3,0,0,-1.3,0,-1.5,0,2.28,30.94,19.216,3.54,303.702,0,0,0,627.3,599.86,0,0,0,0.376,15.354,306.724,336.128,0.036,401.472,0,0,0,1.686,39.9,-0.006,-0.002,-0.002,-0.92,-72.314,-72.29,-0.02,-72.98,16.314,-1.9,-1.8,-0.908,0.036,63.986,70.58,78.82,74.86,-0.042,5.83,3.044,35.84,19.78,9.636,9.67,0,-0.6,410.7,0,0,137.712,125.91,130.986,3.026,13.356,52.82,65.98,72.8,101.7,-0.002,0,0,-0.006,0,-0.008,6.08,9.45,490.6,517.096,-26.736,601.336,-7.848,39.14,28.456,214.474,133.694,133.914,161.154,343.768,296.06,-0.656,559.904,0,300.062,-48.16,-2.28,7.596,-1.24,817.98,-0.16,3.69,15.144,-0.734,-0.518,47.302,10.726,0.296,9.648,-1,-0.1,107.58,95.04,81.28,84.58,571.02,-0.02,25.408,27.964,-4.196,1.558,1.52,2.98,-0.004,217.398,181.518,-0.6,1.086,0,0,35.16,0,318,320.8,0,409,415.6,-0.02,58.66,117.098,103.824,109.796,90.286,-0.8,37.872,49.806,0,-0.818,1.532,321,-5.4,0,-43.58,-2.986,240.46,-0.36,0,0,-1.448,-1.336,-1.596,-3.1,733.2,-0.462,62.354,47.454,593.76,593.34,0,0,4.464,353.4,410.2,314.8,198,0,7.156,7.704,4.71,34.812,-0.8,-0.5,-0.4,1.19,75.202,73.81,359.032,-0.004,634.904,640.648,-55.264,-1.612,0,0,0,0,0,0,0,0,-3.43,0,-2.074,0.03,-0.226,132.748,120.368,1.442,1.412,38.522,20.42,32.54,3.196,127.518,259.078,279.49,79.46,79.162
9,26.8,0.682,0.86,31.8,26.186,0.404,21.04,10.106,72.896,72.248,77.746,85.45,2.74,3.04,5.68,4.516,0,50.276,-43.058,183.71,0,179.8,0.66,405.9,6.06,0,0,6.14,-4.536,0,-4.536,-4.788,-1.866,-0.09,21.542,-0.004,-0.284,29.302,5.458,2.654,-3.84,0,0,0,0,0,53.412,38.904,45.106,50.298,0,-0.3,0,0,-1.3,0,-1.4,0,2.428,40.7,21.384,0.694,305.804,0,0,0,624.5,616.74,0,0,0,1.018,15.454,224.444,268.928,0.1,400.464,0,0,0,2.906,33.02,-0.006,-0.002,0,-0.918,-72.258,-72.254,-0.04,-72.92,16.306,-1.9,-2,-0.91,-0.058,60.286,67.54,76.26,69.98,-0.042,2.024,2.246,38,20.56,8.896,9.484,0,-0.5,411,0,0,114.626,122.112,110.088,2.398,9.272,64.9,90.22,113.16,123.54,-0.002,0,-0.002,-0.004,0,-0.008,17.004,12.936,490.568,517.144,-26.776,604.128,-7.872,23.77,17.456,203.794,164.434,125.354,174.09,315.98,276.14,1.752,560.352,0,315.904,-48.2,-2.24,7.528,-1.34,820.18,-0.16,1.82,18.554,-0.738,-0.522,54.372,5.428,0.206,4.986,-1.2,-0.1,117.38,103.84,89.36,94.16,543.44,-0.04,29.988,25.346,-4.264,1.13,0.96,2.98,-0.004,207.758,192.638,-0.6,2.422,0,0,66.3,0,350,328.6,0,409.6,415.6,-0.02,59.27,119.558,117.024,110.796,72.718,-0.6,42.086,54.968,0,-0.812,2,321,-5.4,0,-43.74,-3.002,240.28,-0.34,0,0,-1.436,-1.316,-1.586,-3.084,734.2,-0.462,56.87,47.586,593.7,592.72,0,0,3.332,403.8,410.6,418.4,366.9,0,5.508,7.548,4.53,32.572,-0.8,-0.6,-0.4,1.476,65.108,63.198,326.132,-0.004,635.424,638.312,-55.12,-1.6,0,0,0,0,0,0,0,0,-2.076,0,-2.364,-0.026,-0.136,158.228,160.508,1.852,1.534,13.81,4.006,35.48,4.654,154.352,251.338,303.71,115.56,70.042
10,24.32,0.178,2.688,28.72,22.612,0.456,18.8,9.322,72.062,70.522,85.914,94.06,1.154,1.81,10.132,2.72,0,58.478,-42.632,234.09,-0.2,180,0.66,406.8,5.1,0,0,3.9,-4.662,0,-4.662,-4.662,-2.014,-0.088,16.106,-0.004,-0.314,27.62,3.86,0.444,-3.87,0,0,0,0,0,52.048,34.714,40.664,43.156,0,-0.2,0,0,-1.3,0,-1.4,0,2.64,50.92,24.512,-0.076,312.966,0,0,0,622.98,619.5,0,0,0,9.56,14.252,216.902,248.028,0.34,400.606,0,0,0,3.434,28.04,-0.006,-0.002,-0.002,-1.274,-71.738,-71.736,-0.02,-72.08,16.332,-1.9,-1.9,-0.906,-0.05,49.646,56.56,64.02,50.26,-0.042,-0.02,3.404,44.46,22.56,10.592,12.434,0,-0.5,410.9,0,0,87.496,99.632,86.876,1.96,7.55,102.96,120.14,133.02,135.18,-0.002,0,0,-0.004,0,-0.008,18.9,14.088,492.088,518.656,-26.768,602.424,-7.776,31.202,16.836,174.094,143.554,120.614,156.084,260.638,241.44,7.852,560.144,0,315.286,-48.08,-2.22,7.292,-1.23,754.4,-0.17,0.55,19.038,-0.734,-0.522,54.924,2.928,0.294,3.664,-1,-0.09,121.22,106.62,98.96,105.1,479.22,-0.02,34.842,44.484,-7.402,0.99,0.78,3.28,-0.004,226.858,238.178,-0.6,2.314,0,0,76.15,0,274.6,279,0,409.6,415.6,-0.03,61.41,116.478,103.804,135.714,97.556,-0.8,47.592,61.65,0,-0.882,1.746,326.6,-6.3,0,-43.24,-2.994,240.42,-0.34,0,0,-1.432,-1.312,-1.582,-3.072,732.4,-0.458,64.386,51.556,593.48,592.2,0,0,11.206,338.5,410.4,418.8,408.5,0,5.224,6.054,3.832,30.532,-0.8,-0.5,-0.4,0.728,71.852,69.774,253.39,-0.004,633.168,635.424,-56.144,-1.602,0,0,0,0,0,0,0,0,-2.166,0,-1.36,0.266,0.26,173.668,177.488,2.686,2.868,2.11,-0.23,37.11,7.724,155.096,261.918,309.55,133.44,46.802
11,19.16,0.032,9.134,19.64,21.686,0.376,18.98,8.282,72.992,70.964,83.214,86.204,0.5,0.78,10.498,2.048,0,66.642,-42.282,249.21,-0.2,179,0.54,405.9,4.44,0,0,2.3,-4.536,0,-4.536,-4.662,-1.87,-0.092,17.042,-0.004,-0.172,26.268,3.472,-0.314,-3.94,0,0,0,0,0,41.64,22.334,32.32,31.632,0,-0.3,0,0,-1.3,0,-1.5,0,2.11,46.88,23.232,0.08,316.166,0,0,0,595.64,619.9,0,0,0,12.8,12.192,150.806,182.068,0.56,400.608,0,0,0,3.558,33.82,-0.006,-0.002,-0.002,-1.372,-13.878,-1.724,-0.04,-0.24,16.322,-1.8,-1.9,-0.928,-0.05,40.446,46.56,55.08,39.78,-0.042,-0.358,3.48,38.68,18.9,15.664,15.83,0,-0.6,410.9,0,0,71.804,87.436,68.902,4.822,9.684,100.72,115.96,123.02,132.9,-0.002,0,0,-0.006,0,-0.01,16.894,11.926,492.616,518.96,-26.72,605.008,-7.72,60.606,27.476,132.054,126.894,122.334,127.394,224.128,181.04,11.51,559.888,0,347.088,-48.18,-2.23,7.17,-1.24,753.6,-0.16,0.4,20.122,-0.732,-0.524,50.512,0.33,0.412,1.468,-1.2,0.05,118.9,103.88,87.68,91.52,549.6,0,33.928,43.302,-8.244,0.622,0.38,4.92,-0.004,229.478,235.898,-0.6,2.856,0,0,66.81,0,279.4,271.2,0,409,415.2,-0.02,78.42,97.078,83.162,130.056,98.188,-0.6,40.078,57.418,0,-0.854,2.57,345.1,15.3,0,-43.1,-2.94,240.34,-0.344,0,0,-1.438,-1.314,-1.584,-3.09,732.6,-0.456,69.472,55.156,593.9,592.04,0,0,28,361.6,410.2,419.4,408.7,0,6.802,7.082,3.208,32.232,-0.8,-0.6,-0.3,0.804,48.826,44.79,194.252,-0.004,633.92,637.048,-54.928,-1.592,0,0,0,0,0,0,0,0,-1.89,0,-1.254,0.19,0.154,182.228,176.868,10.294,3.408,-1.37,-0.638,37.77,17.954,159.19,259.378,302.21,146.78,66.902
